Configuration,Mean CV Accuracy (%),CV Standard Deviation (%),Mean Final Validation Accuracy (%),Final Validation SD (%)
Baseline,91.8816065788269,1.449007136788814,91.50780320167542,1.7296456521549133
Fine Tuned,89.19863104820251,1.0196830247252258,88.72267127037048,1.193964010727099
