Configuration,Mean CV Accuracy (%),CV Standard Deviation (%),Mean Final Validation Accuracy (%),Final Validation SD (%)
Additional Exercise,92.5249973932902,0.8559801292016079,92.29852755864461,0.9713484930427796
Fold 1,91.00169539451599,,90.83191752433777,
Fold 2,90.49236178398132,,89.98302221298218,
