Configuration,CV Accuracy,SD,Test Accuracy,Training Time (s)
Final Selected Model,,,89.72471952438354,182.59199023246765
Baseline,91.8816065788269,1.4490071367888155,,722.4658167362213
Fine-Tuned,89.19863104820251,1.0196830247252258,,926.8297848701476
