Configuration,Fold,Epoch,Training Accuracy,Validation Accuracy,Training Loss,Validation Loss
Additional Exercise,5,7,0.9575551748275757,0.9030612111091614,0.15421418845653534,0.2964725196361542
Additional Exercise,5,8,0.9605262875556946,0.9115646481513977,0.12166716903448105,0.28999388217926025
Additional Exercise,5,9,0.9732597470283508,0.9115646481513977,0.09126561135053635,0.2768231928348541
Additional Exercise,5,10,0.9825976490974426,0.9064626097679138,0.06586328148841858,0.299111932516098
Fold 1,1,1,0.7282378077507019,0.8709677457809448,1.1334425210952759,0.4552888870239258
Fold 1,1,2,0.9397027492523193,0.8862478733062744,0.25875744223594666,0.3583203852176666
Fold 1,1,3,0.96857750415802,0.8964346647262573,0.14870375394821167,0.3344953954219818
Fold 1,1,4,0.9868364930152893,0.9083191752433777,0.09739819914102554,0.3036021590232849
Fold 1,1,5,0.9961783289909363,0.8964346647262573,0.06587937474250793,0.2997174859046936
Fold 1,1,6,0.9983015060424805,0.9100169539451599,0.04829994961619377,0.2883065640926361
Fold 1,1,7,0.9991507530212402,0.9049236178398132,0.0376107394695282,0.28821489214897156
Fold 1,1,8,0.9995753765106201,0.9032257795333862,0.030180316418409348,0.2823239862918854
Fold 1,1,9,0.9995753765106201,0.9100169539451599,0.02477591298520565,0.2842632234096527
Fold 1,1,10,1.0,0.9083191752433777,0.02044844441115856,0.2813573181629181
Fold 2,2,1,0.7129511833190918,0.8624787926673889,1.160791039466858,0.4847593307495117
Fold 2,2,2,0.9312102198600769,0.901528000831604,0.2751460671424866,0.3689028024673462
Fold 2,2,3,0.96857750415802,0.8845500946044922,0.157139390707016,0.3497316837310791
Fold 2,2,4,0.9889596700668335,0.8947368264198303,0.09967987984418869,0.3178965747356415
Fold 2,2,5,0.9974522590637207,0.8947368264198303,0.06728561967611313,0.31872332096099854
Fold 2,2,6,0.9987261295318604,0.8964346647262573,0.0513729527592659,0.30211272835731506
Fold 2,2,7,0.9991507530212402,0.9049236178398132,0.039315883070230484,0.29548653960227966
Fold 2,2,8,0.9995753765106201,0.8981324434280396,0.03120305761694908,0.29931217432022095
Fold 2,2,9,1.0,0.9049236178398132,0.024758372455835342,0.2898105978965759
Fold 2,2,10,1.0,0.8998302221298218,0.020466171205043793,0.29831814765930176
Additional Exercise,3,1,0.7133758068084717,0.8964346647262573,1.2058888673782349,0.433079332113266
Additional Exercise,3,2,0.9384288787841797,0.9032257795333862,0.26487863063812256,0.333357572555542
Additional Exercise,3,3,0.9711252450942993,0.9117147922515869,0.15663793683052063,0.2960079312324524
Additional Exercise,3,4,0.9859872460365295,0.9185059666633606,0.09993241727352142,0.27559801936149597
Additional Exercise,3,5,0.9953290820121765,0.9151103496551514,0.06969679892063141,0.2672806680202484
Additional Exercise,3,6,0.997027575969696,0.9151103496551514,0.05182380601763725,0.2532280385494232
Additional Exercise,3,7,0.9991507530212402,0.9168081283569336,0.03936280310153961,0.24982616305351257
Additional Exercise,3,8,0.9995753765106201,0.9185059666633606,0.03193221986293793,0.24469201266765594
Additional Exercise,3,9,0.9995753765106201,0.9252971410751343,0.02582983858883381,0.23803739249706268
Additional Exercise,3,10,0.9995753765106201,0.9202037453651428,0.0211199764162302,0.24247755110263824
Additional Exercise,4,1,0.7239915132522583,0.8913412690162659,1.1255781650543213,0.4205237925052643
Additional Exercise,4,2,0.9358810782432556,0.9032257795333862,0.26635903120040894,0.32554325461387634
Additional Exercise,4,3,0.9711252450942993,0.9151103496551514,0.15355336666107178,0.2684725821018219
Additional Exercise,4,4,0.9893842935562134,0.9202037453651428,0.09716759622097015,0.26048743724823
Additional Exercise,4,5,0.9961783289909363,0.9235993027687073,0.0683184489607811,0.23967348039150238
Additional Exercise,4,6,0.9983015060424805,0.9269949197769165,0.049119733273983,0.24008381366729736
Additional Exercise,4,7,0.9995753765106201,0.921901524066925,0.038120634853839874,0.22574730217456818
Additional Exercise,4,8,0.9991507530212402,0.9269949197769165,0.031174706295132637,0.22609201073646545
Additional Exercise,4,9,1.0,0.9286926984786987,0.02504538930952549,0.21979039907455444
Additional Exercise,4,10,1.0,0.9337860941886902,0.02126767300069332,0.2139076590538025
Additional Exercise,5,1,0.7177419066429138,0.8826530575752258,1.1789987087249756,0.4536304473876953
Additional Exercise,5,2,0.9367572069168091,0.884353756904602,0.26720672845840454,0.37253904342651367
Additional Exercise,5,3,0.9660441279411316,0.9013605713844299,0.15930303931236267,0.33772531151771545
Additional Exercise,5,4,0.9855687618255615,0.9081632494926453,0.10054811090230942,0.3002106547355652
Additional Exercise,5,5,0.9953310489654541,0.9081632494926453,0.06917831301689148,0.28554263710975647
Additional Exercise,5,6,0.9983022212982178,0.9115646481513977,0.05081772431731224,0.2668461799621582
Additional Exercise,5,7,0.9991511106491089,0.9064626097679138,0.038476865738630295,0.27166038751602173
Additional Exercise,5,8,0.9995755553245544,0.9115646481513977,0.03142927959561348,0.2613794803619385
Additional Exercise,5,9,1.0,0.9166666865348816,0.025024844333529472,0.2635669708251953
Additional Exercise,5,10,1.0,0.9149659872055054,0.021053221076726913,0.2627156674861908
