Configuration,Fold,Best Validation Accuracy (%),Final Training Accuracy (%),Final Validation Accuracy (%),Final Training Loss,Final Validation Loss
Additional Exercise,3,92.52971410751343,99.95753765106201,92.02037453651428,0.0211199764162302,0.24247755110263824
Additional Exercise,4,93.37860941886902,100.0,93.37860941886902,0.02126767300069332,0.2139076590538025
Additional Exercise,5,91.66666865348816,100.0,91.49659872055054,0.021053221076726913,0.2627156674861908
Fold 1,1,91.00169539451599,100.0,90.83191752433777,0.02044844441115856,0.2813573181629181
Fold 2,2,90.49236178398132,100.0,89.98302221298218,0.020466171205043793,0.29831814765930176
